uid	Gender	Age	Qualification	Nationality	BornIn	ParentsBornIn	Income	EMP1	EMP2	EMP3	EMP4	EMP5	EMP6	EMP7	EMP8	BIG1	BIG2	BIG3	BIG4	BIG5	BIG6	BIG7	BIG8	BIG9	BIG10	IPO1	IPO2	IPO3	IPO4	IPO5	IPO6	IPO7	IPO8	IPO9	IPO10	IPO11	IPO12	EMO1	EMO2	EMO3	EMO4	EMO5	EMO6	EMO7	EMO8	EMO9	EMO10	EMO11	EMO12	EMO13	EMO14	MED1	MED2	MED3	MED4	MED5	MED6	MED7	MED8	MED9	PPA1	PPA2	PPA3	PPA4	PPA5	PPA6	PPA7	PPA8	PPO1	PPO2	PPO3	PPO4	PPO5	PPO6	Republican	Democrat	POL1	POL2	POL3	POL4	POL5	POL6	POL7	POL8	POL9	PRO1	PRO2	PRO3	PRO4	PRO5
U4458	0	44	5	0	0	0	5	7	7	6	6	7	7	5	6	3	2	7	2	4	5	7	1	6	1	6	6	7	6	7	7	7	7	5	7	5	6	7	6	5	6	4	6	5	7	6	7	5	6	7	7	7	6	7	5	7	6	6	7	6	7	7	6	7	7	6	6	5	6	6	7	7	7	5	97	100	10	7	6	7	7	7	5	7	6	6	7	5000.0	6	7
U4461	1	66	1	0	0	0	2	3	7	5	5	3	3	4	5	1	1	6	1	1	7	5	1	6	6	1	7	1	7	4	4	7	4	4	4	4	4	4	1	4	1	3	1	1	2	1	1	1	1	1	1	1	1	7	1	1	1	1	7	1	1	1	1	1	1	1	1	1	6	6	6	6	6	4	51	0	11	7	7	7	7	5	4	6	7	1	1	0.0	1	1
U4466	1	58	2	0	0	0	1	6	6	6	6	6	6	6	6	4	1	6	1	6	6	6	1	6	1	2	6	2	6	3	2	4	2	3	2	2	4	1	1	1	3	1	1	1	6	6	4	3	5	1	1	3	6	3	6	3	3	6	6	3	4	4	4	4	4	4	4	4	6	6	6	6	6	6	91	0	6	5	5	5	6	3	5	5	5	5	5	100.0	2	2
U4467	1	64	3	0	0	0	3	4	6	5	5	5	5	4	5	4	4	4	3	5	3	5	2	4	2	4	4	4	5	4	4	4	4	4	5	3	2	2	3	2	4	2	1	4	5	5	4	1	5	4	4	1	1	1	1	1	1	1	1	1	4	4	4	2	2	2	4	2	5	3	4	4	5	4	23	76	6	4	4	5	2	4	4	4	4	5	4	40.0	1	3
U4470	0	67	1	0	0	0	2	3	5	4	2	1	2	3	4	7	3	7	1	4	1	3	1	7	4	1	7	6	7	4	3	7	4	4	4	2	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	1	7	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	7	7	7	7	7	7	50	100	4	5	5	7	1	1	4	5	5	1	1	0.0	1	1
U4472	0	73	5	0	0	0	6	2	5	4	5	3	2	2	5	5	2	6	4	6	5	5	1	5	2	2	5	3	6	4	5	5	3	5	4	3	4	4	4	2	6	2	1	1	6	5	2	1	2	1	1	3	7	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	7	7	7	7	7	6	15	15	8	4	6	6	5	3	4	4	4	4	2	100.0	1	1
U4473	1	79	1	0	0	2	1	2	4	5	5	3	4	3	3	4	3	5	3	3	5	5	1	5	4	1	7	1	7	4	4	4	3	3	4	3	2	3	7	4	4	3	1	3	3	4	3	4	4	1	2	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	2	1	7	7	4	5	7	7	15	50	6	2	3	3	1	1	2	2	2	1	2	0.0	1	1
U4474	1	62	4	0	0	0	2	6	7	6	5	4	4	5	6	6	2	5	2	5	2	6	2	5	2	1	5	2	4	5	1	5	2	1	5	1	6	1	3	1	2	1	1	1	2	4	3	3	4	3	1	7	7	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	5	6	6	56	34	6	3	5	6	3	3	4	2	3	2	2	0.0	1	1
U4476	1	48	3	0	0	0	3	3	6	6	5	5	4	3	5	1	1	6	1	2	6	4	1	7	1	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	2	1	4	4	5	1	3	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	49	50	6	1	1	1	1	1	1	1	1	3	2	0.0	1	1
U4477	0	67	5	0	0	0	4	3	5	5	5	4	4	4	5	4	3	5	2	5	5	5	2	5	5	5	3	4	3	4	3	2	4	2	5	3	4	3	3	3	3	3	3	3	3	5	4	4	4	4	3	7	7	3	1	1	1	1	1	2	2	2	2	1	2	2	2	2	5	5	5	5	5	5	10	57	6	5	5	6	5	5	5	5	5	5	4	0.0	1	1
