uid	Gender	Age	Qualification	Nationality	BornIn	ParentsBornIn	Income	EMP1	EMP2	EMP3	EMP4	EMP5	EMP6	EMP7	EMP8	BIG1	BIG2	BIG3	BIG4	BIG5	IPO1	IPO2	IPO3	IPO4	IPO5	IPO6	IPO7	IPO8	IPO9	IPO10	IPO11	IPO12	EMO1	EMO2	EMO3	EMO4	EMO5	EMO6	EMO7	EMO8	EMO9	EMO10	EMO11	EMO12	EMO13	EMO14	MED1	MED2	MED3	MED4	MED5	MED6	MED7	MED8	MED9	PPA1	PPA2	PPA3	PPA4	PPA5	PPA6	PPA7	PPA8	PPO1	PPO2	PPO3	PPO4	PPO5	PPO6	CDU	SPD	GRU	FDP	LIN	AFD	POL1	POL2	POL3	POL4	POL5	POL6	POL7	POL8	POL9	PRO1	PRO2	PRO3	PRO4	PRO5
U4995	1	41	3	0	0	0	2	6	7	4	6	6	3	4	6	7	2	2	6	1	4	4	4	3	4	3	4	3	3	5	3	4	1	2	1	1	1	1	1	4	4	1	1	1	1	1	6	6	6	6	1	2	1	2	2	2	5	5	3	2	1	2	1	5	5	4	5	5	7	39	50	100	40	50	0	3	4	5	5	3	4	3	3	3	7	7	50.0	3	1
U5000	0	47	2	0	0	0	2	5	6	7	5	4	5	6	6	2	6	2	4	2	4	5	7	5	4	6	5	2	4	5	5	5	4	5	2	4	2	2	1	6	6	2	3	5	4	3	4	6	3	5	2	5	4	6	6	6	6	5	5	2	5	2	3	7	4	4	6	7	5	43	67	60	80	58	9	5	6	7	7	5	5	6	5	6	7	6	150.0	5	4
U448	0	65	3	0	0	0	4	4	6	5	4	4	4	5	6	4	6	2	5	3	4	4	4	4	3	5	5	4	4	4	4	4	1	1	1	1	1	1	1	4	4	1	1	1	1	1	7	7	4	1	1	1	1	1	1	1	4	1	1	1	1	1	1	5	5	5	6	6	5	63	23	38	29	9	0	6	6	6	6	4	4	4	3	4	4	4	0.0	1	5
U5004	0	35	2	0	1	3	1	6	5	2	3	4	2	4	5	4	7	3	4	2	2	7	6	2	3	5	5	4	2	4	5	3	4	2	2	4	1	1	1	4	3	1	4	2	2	3	2	4	3	1	1	1	3	5	3	1	2	2	1	1	1	1	2	2	4	6	6	6	6	10	10	55	36	62	11	5	2	3	3	2	2	1	1	2	3	1	0.0	4	2
U5006	1	66	2	0	0	0	1	2	7	4	4	5	5	3	4	6	4	7	1	5	1	3	1	7	3	5	2	1	3	4	1	7	4	7	1	7	1	1	1	2	5	6	1	5	4	3	7	6	2	1	1	1	1	1	6	1	1	1	1	1	6	1	1	7	7	7	7	7	7	0	43	90	0	19	0	8	6	7	7	3	2	3	3	4	3	3	0.0	3	3
U5007	1	49	2	0	0	0	1	6	6	6	7	6	6	5	6	2	3	4	6	2	1	7	4	7	2	4	6	3	7	4	6	2	3	4	4	3	4	2	2	3	5	2	3	3	3	4	7	3	7	3	1	1	1	1	1	1	1	1	1	1	1	2	2	3	5	5	6	5	6	80	50	20	20	19	51	6	6	7	7	6	5	2	2	2	6	4	50.0	6	4
U5009	0	26	3	1	0	2	4	7	7	7	7	7	6	6	6	1	7	4	7	1	6	4	6	1	6	2	2	6	3	6	2	7	1	4	2	5	1	2	4	7	7	3	3	6	2	4	5	7	7	6	6	6	7	6	7	7	7	6	6	7	5	6	7	5	6	6	6	6	7	87	77	87	91	50	76	11	7	6	7	6	7	6	6	6	7	7	500.0	7	6
U5011	0	61	1	0	0	0	1	7	7	7	5	5	5	7	7	5	5	2	7	1	3	7	5	5	4	4	5	3	4	3	4	4	2	2	2	2	2	3	2	4	4	2	3	3	3	4	1	7	7	1	1	1	4	4	1	1	1	1	1	1	1	1	1	4	3	4	6	6	6	0	87	63	0	0	0	6	7	7	7	5	5	5	7	7	5	1	10.0	1	1
U5014	0	34	2	2	1	3	4	6	7	6	1	7	2	5	7	3	4	2	5	1	4	4	4	1	6	4	4	6	1	4	1	7	1	1	1	7	1	1	1	7	7	7	7	7	4	1	3	3	3	2	2	2	2	2	6	1	4	2	1	1	1	1	1	3	6	6	7	6	7	0	0	0	0	0	0	6	1	3	3	2	2	2	2	2	7	4	500.0	7	7
U5015	0	20	2	0	0	0	0	6	7	7	4	4	3	7	7	3	3	2	6	3	7	1	7	1	7	1	5	4	1	7	1	7	1	1	1	6	1	1	1	5	7	5	7	4	5	1	1	1	7	1	1	1	1	4	4	4	4	1	1	6	4	4	2	5	1	4	6	5	5	40	50	75	30	50	0	6	6	6	6	3	4	2	1	1	7	5	250.0	7	3
