id,topic,topic_label
436,-1,mehr_menschen_deutschland_wurde
437,-1,mehr_menschen_deutschland_wurde
438,-1,mehr_menschen_deutschland_wurde
439,2,eu_brexit_europäischen_europa
440,-1,mehr_menschen_deutschland_wurde
441,-1,mehr_menschen_deutschland_wurde
442,23,deutschland_anträge_000_prozent
443,-1,mehr_menschen_deutschland_wurde
444,-1,mehr_menschen_deutschland_wurde
445,-1,mehr_menschen_deutschland_wurde
446,-1,mehr_menschen_deutschland_wurde
447,-1,mehr_menschen_deutschland_wurde
448,0,grenze_belarus_polen_eu
449,-1,mehr_menschen_deutschland_wurde
450,17,merkel_kanzlerin_angela_deutschland
451,-1,mehr_menschen_deutschland_wurde
452,5,mexiko_trump_us_usa
453,-1,mehr_menschen_deutschland_wurde
454,0,grenze_belarus_polen_eu
455,5,mexiko_trump_us_usa
456,0,grenze_belarus_polen_eu
457,8,deutschland_wurde_sagt_familie
458,12,deutschland_menschen_deutschen_mehr
459,7,moria_lesbos_griechischen_lager
460,-1,mehr_menschen_deutschland_wurde
461,-1,mehr_menschen_deutschland_wurde
462,5,mexiko_trump_us_usa
463,0,grenze_belarus_polen_eu
464,3,prozent_000_deutschland_mehr
465,-1,mehr_menschen_deutschland_wurde
466,7,moria_lesbos_griechischen_lager
467,-1,mehr_menschen_deutschland_wurde
468,-1,mehr_menschen_deutschland_wurde
469,3,prozent_000_deutschland_mehr
470,-1,mehr_menschen_deutschland_wurde
471,2,eu_brexit_europäischen_europa
474,19,ard_medien_schon_journalisten
481,-1,mehr_menschen_deutschland_wurde
482,17,merkel_kanzlerin_angela_deutschland
483,-1,mehr_menschen_deutschland_wurde
484,-1,mehr_menschen_deutschland_wurde
485,-1,mehr_menschen_deutschland_wurde
487,16,syrien_syrischen_idlib_al
490,23,deutschland_anträge_000_prozent
491,6,corona_pandemie_menschen_covid
492,1,libyen_sea_bord_schiff
494,16,syrien_syrischen_idlib_al
495,9,täter_wurde_polizei_mann
497,1,libyen_sea_bord_schiff
500,-1,mehr_menschen_deutschland_wurde
501,8,deutschland_wurde_sagt_familie
502,-1,mehr_menschen_deutschland_wurde
503,6,corona_pandemie_menschen_covid
504,-1,mehr_menschen_deutschland_wurde
505,-1,mehr_menschen_deutschland_wurde
510,7,moria_lesbos_griechischen_lager
512,2,eu_brexit_europäischen_europa
514,7,moria_lesbos_griechischen_lager
515,-1,mehr_menschen_deutschland_wurde
516,7,moria_lesbos_griechischen_lager
517,-1,mehr_menschen_deutschland_wurde
519,-1,mehr_menschen_deutschland_wurde
520,-1,mehr_menschen_deutschland_wurde
524,13,polizei_polizisten_reul_innen
527,-1,mehr_menschen_deutschland_wurde
528,-1,mehr_menschen_deutschland_wurde
529,-1,mehr_menschen_deutschland_wurde
530,1,libyen_sea_bord_schiff
531,14,eu_kommission_staaten_seehofer
533,5,mexiko_trump_us_usa
534,-1,mehr_menschen_deutschland_wurde
535,-1,mehr_menschen_deutschland_wurde
536,8,deutschland_wurde_sagt_familie
537,4,türkei_eu_erdogan_türkische
538,5,mexiko_trump_us_usa
540,11,trump_biden_demokraten_us
541,13,polizei_polizisten_reul_innen
542,-1,mehr_menschen_deutschland_wurde
544,-1,mehr_menschen_deutschland_wurde
549,11,trump_biden_demokraten_us
551,-1,mehr_menschen_deutschland_wurde
552,-1,mehr_menschen_deutschland_wurde
553,1,libyen_sea_bord_schiff
554,-1,mehr_menschen_deutschland_wurde
556,18,türkei_griechenland_griechischen_migranten
557,3,prozent_000_deutschland_mehr
558,-1,mehr_menschen_deutschland_wurde
562,-1,mehr_menschen_deutschland_wurde
563,17,merkel_kanzlerin_angela_deutschland
564,4,türkei_eu_erdogan_türkische
565,6,corona_pandemie_menschen_covid
568,-1,mehr_menschen_deutschland_wurde
569,-1,mehr_menschen_deutschland_wurde
571,-1,mehr_menschen_deutschland_wurde
572,-1,mehr_menschen_deutschland_wurde
573,-1,mehr_menschen_deutschland_wurde
574,-1,mehr_menschen_deutschland_wurde
575,14,eu_kommission_staaten_seehofer
576,-1,mehr_menschen_deutschland_wurde
577,13,polizei_polizisten_reul_innen
578,-1,mehr_menschen_deutschland_wurde
579,4,türkei_eu_erdogan_türkische
580,-1,mehr_menschen_deutschland_wurde
581,11,trump_biden_demokraten_us
582,9,täter_wurde_polizei_mann
584,2,eu_brexit_europäischen_europa
585,-1,mehr_menschen_deutschland_wurde
588,13,polizei_polizisten_reul_innen
592,9,täter_wurde_polizei_mann
593,23,deutschland_anträge_000_prozent
597,-1,mehr_menschen_deutschland_wurde
598,-1,mehr_menschen_deutschland_wurde
600,-1,mehr_menschen_deutschland_wurde
601,-1,mehr_menschen_deutschland_wurde
603,-1,mehr_menschen_deutschland_wurde
606,-1,mehr_menschen_deutschland_wurde
608,3,prozent_000_deutschland_mehr
609,8,deutschland_wurde_sagt_familie
610,-1,mehr_menschen_deutschland_wurde
611,-1,mehr_menschen_deutschland_wurde
612,2,eu_brexit_europäischen_europa
614,5,mexiko_trump_us_usa
616,-1,mehr_menschen_deutschland_wurde
617,-1,mehr_menschen_deutschland_wurde
618,-1,mehr_menschen_deutschland_wurde
619,-1,mehr_menschen_deutschland_wurde
620,2,eu_brexit_europäischen_europa
623,-1,mehr_menschen_deutschland_wurde
625,6,corona_pandemie_menschen_covid
626,-1,mehr_menschen_deutschland_wurde
629,6,corona_pandemie_menschen_covid
630,-1,mehr_menschen_deutschland_wurde
637,4,türkei_eu_erdogan_türkische
638,-1,mehr_menschen_deutschland_wurde
639,1,libyen_sea_bord_schiff
640,4,türkei_eu_erdogan_türkische
641,4,türkei_eu_erdogan_türkische
642,8,deutschland_wurde_sagt_familie
643,-1,mehr_menschen_deutschland_wurde
644,-1,mehr_menschen_deutschland_wurde
645,-1,mehr_menschen_deutschland_wurde
648,-1,mehr_menschen_deutschland_wurde
649,9,täter_wurde_polizei_mann
650,-1,mehr_menschen_deutschland_wurde
652,-1,mehr_menschen_deutschland_wurde
654,19,ard_medien_schon_journalisten
655,-1,mehr_menschen_deutschland_wurde
656,3,prozent_000_deutschland_mehr
658,3,prozent_000_deutschland_mehr
659,24,salvini_italien_lega_matteo
660,1,libyen_sea_bord_schiff
661,20,frauen_arbeiter_innen_innenklasse
664,-1,mehr_menschen_deutschland_wurde
667,13,polizei_polizisten_reul_innen
668,-1,mehr_menschen_deutschland_wurde
669,2,eu_brexit_europäischen_europa
670,-1,mehr_menschen_deutschland_wurde
671,1,libyen_sea_bord_schiff
672,-1,mehr_menschen_deutschland_wurde
673,0,grenze_belarus_polen_eu
674,-1,mehr_menschen_deutschland_wurde
675,-1,mehr_menschen_deutschland_wurde
676,-1,mehr_menschen_deutschland_wurde
677,-1,mehr_menschen_deutschland_wurde
678,10,russland_putin_ukraine_russischen
